StaticBinocular
time	left_x	left_y	left_w	left_h	left_valid	right_x	right_y	right_w	right_h	right_valid
713728050	1151.01	948.63	0	0	1	1134.61	880.53	0	0	1
713736397	1133.28	958.22	0	0	1	1154.4	912.46	0	0	1
713744670	1132.54	957.83	0	0	1	1153.13	914.03	0	0	1
713753019	1128.73	973.95	0	0	1	1153.3	913.43	0	0	1
713761409	1143.97	970.86	0	0	1	1155.75	912.3	0	0	1
713769641	1114.23	985.46	0	0	1	1152.28	911.6	0	0	1
713778041	1130.22	1010.76	0	0	1	1151.96	910.13	0	0	1
713786395	1140.13	983.69	0	0	1	1120.52	903.83	0	0	1
713794665	1125.69	973.07	0	0	1	1136.55	910.38	0	0	1
713803019	1104.58	1013.17	0	0	1	1114.95	934.46	0	0	1
713811393	1089.9	1015.98	0	0	1	1152.45	914.55	0	0	1
713819657	1037.58	1016.31	0	0	1	1137.91	937.15	0	0	1
713828018	1061.96	959.61	0	0	1	1157.89	940.03	0	0	1
713836416	1051.97	965.96	0	0	1	1146.62	908.21	0	0	1
713844643	1062.32	1034.26	0	0	1	1148.01	834.11	0	0	1
713853061	1109.39	939.12	0	0	1	1155.63	844.65	0	0	1
713861400	1062.17	962.79	0	0	1	1153.74	901.14	0	0	1
713869662	1113.23	1044.05	0	0	1	1142.84	900.51	0	0	1
713878024	1028.09	1002.24	0	0	1	1114.78	949.86	0	0	1
713886290	1050.96	1015.77	0	0	1	990.81	932.03	0	0	1
713894641	1047.6	1055.83	0	0	1	1016.03	928.57	0	0	1
713903033	1048	1053.72	0	0	1	1016.15	871.2	0	0	1
713911393	1047.89	1053.56	0	0	1	979.48	884.14	0	0	1
713919663	1048.23	1047.98	0	0	1	975.68	910.84	0	0	1
713928019	1057.86	1072.98	0	0	1	963.88	882.62	0	0	1
713936282	1050.31	1032.68	0	0	1	977.62	876.96	0	0	1
713944644	1047.22	1054.99	0	0	1	1005.5	905.16	0	0	1
713953036	1057.95	1046.47	0	0	1	1002.33	899.55	0	0	1
713961272	1028.48	1099.84	0	0	1	997.19	933.71	0	0	1
713969657	1029.12	1081.48	0	0	1	1000.83	907.49	0	0	1
713978034	1060.86	1041.28	0	0	1	984.47	902.47	0	0	1
713986294	1041.23	1076.61	0	0	1	974.48	904.55	0	0	1
713994651	1020.01	1027.68	0	0	1	1008.38	909.6	0	0	1
714003031	1017.23	1043.03	0	0	1	1004.9	904.44	0	0	1
714011273	1023.82	1088.15	0	0	1	982.46	907.34	0	0	1
714019658	1036.82	1106.45	0	0	1	1009.9	930.45	0	0	1
714028035	1049.77	1055.58	0	0	1	1032.54	881.29	0	0	1
714036306	1046.24	1051.6	0	0	1	1011.65	889.8	0	0	1
714044654	1073.63	1029.16	0	0	1	1012.25	896.71	0	0	1
714053042	1065.41	1076.88	0	0	1	1053.33	895.19	0	0	1
714061272	1053.57	1052.39	0	0	1	1053.2	919.38	0	0	1
714069655	1055.18	1014.66	0	0	1	1016.8	906.91	0	0	1
714078020	1046.62	1043.55	0	0	1	1038.07	897.99	0	0	1
714086291	1054.66	1059.7	0	0	1	1040.89	934.56	0	0	1
714094645	1026	1031	0	0	1	1014.15	939.13	0	0	1
714103041	1021.87	1037.68	0	0	1	1007.99	947.91	0	0	1
714111279	1037.48	1043.36	0	0	1	956.17	920.12	0	0	1
714119676	1038.16	1030.32	0	0	1	997.89	913.95	0	0	1
714128021	1088.38	958.59	0	0	1	1013.44	888.47	0	0	1
714136290	1088.42	1010.72	0	0	1	1011.68	919.73	0	0	1
714144646	1050.67	1095.29	0	0	1	1052.39	893.52	0	0	1
714153039	1059.59	1059.82	0	0	1	1050.05	915.33	0	0	1
714161271	1070.79	1032.53	0	0	1	1041.01	941.98	0	0	1
714169665	1050.24	1054.08	0	0	1	1041.05	924.45	0	0	1
714178023	1061.8	1068.82	0	0	1	1035.26	914.1	0	0	1
714186292	1081.06	1065.35	0	0	1	1041.24	894.7	0	0	1
714194644	1050.56	1035.52	0	0	1	1023.22	936.11	0	0	1
714203031	1087.8	1032.24	0	0	1	1034.42	907.58	0	0	1
714211269	1072.19	1012.46	0	0	1	1031.53	893.63	0	0	1
714219657	1088.41	1020.98	0	0	1	1031.5	912.06	0	0	1
714228033	1038.82	1033.17	0	0	1	1008.88	932.36	0	0	1
714236283	1017.24	1037.63	0	0	1	1009.71	898.93	0	0	1
714244650	1008.14	1053.35	0	0	1	998.54	931.69	0	0	1
714253034	984.98	1107.14	0	0	1	967	905.79	0	0	1
714261278	961.12	1089.73	0	0	1	984.56	945.91	0	0	1
714269657	1014.14	1065.29	0	0	1	994.7	951.23	0	0	1
714278018	1035.2	1010.22	0	0	1	989.15	915.17	0	0	1
714286343	1025.3	1014.59	0	0	1	1018.89	947.5	0	0	1
714294654	1076.94	1105.57	0	0	1	1059.74	941.5	0	0	1
714303032	985.71	1080.33	0	0	1	1065	950.67	0	0	1
714311271	1022.89	1118.43	0	0	1	1025.81	931.08	0	0	1
714319649	994.55	1087.36	0	0	1	1051.37	926.82	0	0	1
714328020	1010.02	1071.81	0	0	1	1068.53	909.34	0	0	1
714336286	1044.36	1027.79	0	0	1	1048.49	906.37	0	0	1
714344644	1061.84	1005.45	0	0	1	1018.64	888.49	0	0	1
714353063	1028.73	1033.12	0	0	1	1011.8	889.44	0	0	1
714361279	1066.82	1005.78	0	0	1	1057.87	886.36	0	0	1
714369667	1062.2	998.03	0	0	1	1022.08	897.05	0	0	1
714378018	961.32	1051.18	0	0	1	1012	896.34	0	0	1
714386285	994.2	1010.01	0	0	1	1035.01	890.53	0	0	1
714394649	1021.77	970.78	0	0	1	1010.15	934.58	0	0	1
714403055	990.09	950	0	0	1	1027.67	935.57	0	0	1
714411272	1003.02	957.16	0	0	1	1004.75	937.25	0	0	1
714419668	1065.6	1041.04	0	0	1	1049.77	1014.54	0	0	1
714428020	1051.7	1106.31	0	0	1	1045.05	969.18	0	0	1
714436288	1027	1067.62	0	0	1	1031.92	971.3	0	0	1
714444643	1043.83	1053.07	0	0	1	1053.75	962.56	0	0	1
714453040	1042.44	1043.37	0	0	1	1049.55	972.51	0	0	1
714461269	1030.32	1034.16	0	0	1	1062.46	996.59	0	0	1
714469652	1076.7	982.76	0	0	1	1088.12	982.92	0	0	1
714478031	1085.67	1002.86	0	0	1	1098.02	1014.54	0	0	1
714486285	1068.08	1019.81	0	0	1	1114.21	988.48	0	0	1
714494658	1102.77	1059.85	0	0	1	1101.02	1011.34	0	0	1
714503031	1061.78	1082.25	0	0	1	1083.84	973.02	0	0	1
714511276	1083.99	1055.82	0	0	1	1065.56	993.47	0	0	1
714519652	1076.58	1059.21	0	0	1	1066.55	1010	0	0	1
714528020	1056.25	1091.78	0	0	1	1079.12	1036.56	0	0	1
714536284	1067.26	1060.83	0	0	1	1071.19	987.84	0	0	1
714544653	1064.21	1072.46	0	0	1	1110.2	960.55	0	0	1
714553040	1072.32	1071.57	0	0	1	1078.14	968.86	0	0	1
714561271	1098.2	1031.04	0	0	1	1070.05	941.12	0	0	1
714569654	1074.34	1046.63	0	0	1	1054.47	926.78	0	0	1
714578020	1114.43	1039.43	0	0	1	1048.07	937.68	0	0	1
714586280	1046.61	1062.62	0	0	1	1061.96	885.09	0	0	1
714594649	1057.75	1004.98	0	0	1	1046.04	889.51	0	0	1
714603046	1066.68	1004.46	0	0	1	1073.64	948.44	0	0	1
714611275	1061.45	1021.49	0	0	1	1118.18	959.57	0	0	1
714619660	1048.74	1035.18	0	0	1	1100.67	999.42	0	0	1
714628021	1045.31	1056.53	0	0	1	1096.01	1012.05	0	0	1
714636290	1008.07	1080.65	0	0	1	1084.11	1022.54	0	0	1
714644643	1038.2	1091.95	0	0	1	1082.18	1015.55	0	0	1
714653038	1024.44	1072.24	0	0	1	1079.05	1031.85	0	0	1
714661272	1084.41	1053.1	0	0	1	1081.29	1031.22	0	0	1
714669676	1067.69	1059.24	0	0	1	1081.16	1030.9	0	0	1
714678035	1044.6	1045.35	0	0	1	1092.29	996.72	0	0	1
714686290	1047.21	1003.99	0	0	1	1092.37	1009.75	0	0	1
714694644	1037.04	1019.92	0	0	1	1103.2	993.24	0	0	1
714703036	1029.14	1025.34	0	0	1	1051.11	956.32	0	0	1
714711275	1020.66	1135.27	0	0	1	1056.66	958.17	0	0	1
714719657	1044.83	1199.59	0	0	1	1081.3	1083.37	0	0	1
714728028	1111.28	1243.88	0	0	1	1102.44	1039.21	0	0	1
714736286	1118.93	1293.23	0	0	1	1120.71	1081.32	0	0	1
714744653	1050.73	1306.15	0	0	1	1077.6	1036.52	0	0	1
714753049	1080.2	1243.39	0	0	1	1123.31	1090.91	0	0	1
714761277	1065.33	1291.68	0	0	1	1056.53	1106.83	0	0	1
714769653	1069.86	1208.26	0	0	1	1046.83	1062.13	0	0	1
714778018	1094.26	1253.37	0	0	1	1094.75	1070.49	0	0	1
714786287	1102.85	1212.97	0	0	1	1095.65	1089.11	0	0	1
714794649	1087.85	1210.25	0	0	1	1141.5	1049.2	0	0	1
714803041	1084.68	1214.24	0	0	1	1137.91	1074.68	0	0	1
714811274	1115.84	1229.78	0	0	1	1148.25	1071.05	0	0	1
714819673	1076.07	1253.62	0	0	1	1087.59	1093.58	0	0	1
714828023	1074.66	1220.97	0	0	1	1126.36	1049.34	0	0	1
714836288	1075.84	1253.53	0	0	1	1141.97	1053.97	0	0	1
714844645	1063.78	1266.37	0	0	1	1140.32	1101.93	0	0	1
714853049	1137.21	1246.27	0	0	1	1123.51	1101.46	0	0	1
714861270	1102.08	1242.03	0	0	1	1140.21	1105.8	0	0	1
714869661	1106.8	1220.84	0	0	1	1112.78	1088.15	0	0	1
714877895	1101.45	1319.94	0	0	1	1077.91	1074.51	0	0	1
714886290	1085.11	1319.4	0	0	1	1109.93	1094.63	0	0	1
714894643	1107.16	1303.58	0	0	1	1076.9	1095.02	0	0	1
714902921	1111.89	1276.4	0	0	1	1111.15	1086.47	0	0	1
714911270	1101.36	1325.44	0	0	1	1075.72	1111.29	0	0	1
714919667	1089.65	1317.15	0	0	1	1068.93	1123.78	0	0	1
714927896	1118.42	1243.18	0	0	1	1077.87	1134.94	0	0	1
714936286	1062.34	1340.76	0	0	1	1054.18	1123.36	0	0	1
714944649	1063.73	1340.75	0	0	1	1082.3	1132.46	0	0	1
714952915	1081.34	1311.53	0	0	1	1121.15	1077.29	0	0	1
714961271	1091.11	1251.48	0	0	1	1101.57	1098.67	0	0	1
714969660	1063.98	1258.84	0	0	1	1115.8	1094.73	0	0	1
714977901	1076.98	1317.72	0	0	1	1116.62	1104.54	0	0	1
714986286	1062.9	1219.06	0	0	1	1115.87	1065.94	0	0	1
714994650	1077.37	1193.02	0	0	1	1070.2	1058.12	0	0	1
715002904	1051.97	1283.27	0	0	1	1099.36	1059.69	0	0	1
715011279	1062.53	1236.42	0	0	1	1062.44	1059.62	0	0	1
715019656	1029.33	1254.6	0	0	1	1074.55	1080.24	0	0	1
715027931	1052.44	1236.79	0	0	1	1072.47	1094.65	0	0	1
715036311	1058.86	1250.45	0	0	1	1082.79	1119.42	0	0	1
715044645	1080.04	1141.41	0	0	1	1100.21	1132.42	0	0	1
715052915	1064.42	1195.8	0	0	1	1100.76	1055.34	0	0	1
715061274	1081.52	1174.4	0	0	1	1069	1106.24	0	0	1
715069658	1050.86	1165	0	0	1	1103.38	1128.74	0	0	1
715077899	1057.97	1204.21	0	0	1	1050.07	1100.51	0	0	1
715086287	1018.11	1310.17	0	0	1	1056.42	1081.59	0	0	1
715094644	1024.68	1215.81	0	0	1	1087.28	1047.06	0	0	1
715102944	1037.58	1290.01	0	0	1	1079.79	1067.67	0	0	1
715111283	1072.47	1230.2	0	0	1	1119.7	1091.47	0	0	1
715119670	1088.5	1312.39	0	0	1	1104.27	1069.26	0	0	1
715127895	1097.73	1241.26	0	0	1	1100.33	1081.61	0	0	1
715136289	1095.12	1257.34	0	0	1	1105.97	1068.78	0	0	1
715144643	1072.03	1257.77	0	0	1	1085.97	1064.48	0	0	1
715152917	1059.2	1331.21	0	0	1	1069.13	1064.62	0	0	1
715161292	1066.96	1276.26	0	0	1	1052.03	1087.59	0	0	1
715169663	1054.68	1276.81	0	0	1	1055.54	1092.63	0	0	1
715177893	1049.84	1300.46	0	0	1	1075.39	1085.02	0	0	1
715186283	1071.94	1295.97	0	0	1	1073.74	1055.21	0	0	1
715194646	1058.34	1222.54	0	0	1	1118.04	1058.25	0	0	1
715202905	1064.27	1246.39	0	0	1	1101.06	1086.75	0	0	1
715211279	1082.64	1247.1	0	0	1	1106.97	1071.01	0	0	1
715219659	1099.18	1269.25	0	0	1	1126.47	1055.84	0	0	1
715227907	1091.63	1208.54	0	0	1	1107.95	1075.54	0	0	1
715236285	1095.42	1282.29	0	0	1	1117.29	1047.55	0	0	1
715244653	1107.38	1234.27	0	0	1	1087.54	1039.18	0	0	1
715252919	1109.87	1255.16	0	0	1	1117.63	1035.93	0	0	1
715261276	1104.67	1303.02	0	0	1	1139.04	1105.63	0	0	1
715269658	1078.83	1268.58	0	0	1	1144.64	1124.31	0	0	1
715277893	1127.66	1187.58	0	0	1	1090.05	1085.88	0	0	1
715286293	1228.2	1179.9	0	0	1	1244.61	1110.69	0	0	1
715294648	1223.26	1181.32	0	0	1	1284.24	1101.16	0	0	1
