StaticBinocular
time	left_x	left_y	left_w	left_h	left_valid	right_x	right_y	right_w	right_h	right_valid
811291680	0	0	27.4566	27.4566	0	0	0	29.1107	29.1107	0
811291713	0	0	27.2083	27.2083	0	0	0	29.2108	29.2108	0
811291747	0	0	27.4511	27.4511	0	309.132	136.898	29.1388	29.1388	0
811291780	0	0	0	0	0	286.246	133.344	29.1838	29.1838	0
811291813	273.399	190.169	27.2214	27.2214	1	281.403	147.167	28.9562	28.9562	1
811291846	233.565	207.612	27.2161	27.2161	1	279.624	144.212	28.5717	28.5717	1
811291880	237.025	190.997	27.0125	27.0125	1	300.246	147.474	28.6958	28.6958	1
811291913	265.334	201.802	26.6216	26.6216	1	244.989	143.095	28.0674	28.0674	1
811291947	278.57	194.65	26.3513	26.3513	1	284.837	158.032	27.788	27.788	1
811291980	299.849	192.396	26.5888	26.5888	1	283.373	147.419	27.9289	27.9289	1
811292013	249.456	188.146	26.6298	26.6298	1	286.172	141.495	27.926	27.926	1
811292046	296.127	193.454	26.6711	26.6711	1	285.009	151.005	27.971	27.971	1
811292080	0	0	26.9442	26.9442	0	282.987	144.523	28.3082	28.3082	0
811292113	267.501	197.631	26.7666	26.7666	1	278.088	150.593	28.7	28.7	1
811292146	307.655	185.138	27.4123	27.4123	1	315.612	162.118	28.5938	28.5938	1
811292180	0	0	27.4944	27.4944	0	304.433	127.34	28.7156	28.7156	0
811292213	237.722	249.571	27.8643	27.8643	1	253.945	209.77	29.2291	29.2291	1
811292246	226.926	294.766	27.6346	27.6346	1	226.984	272.884	29.8373	29.8373	1
811292280	234.696	307.564	27.3931	27.3931	1	261.2	268.658	29.5766	29.5766	1
811292313	235.331	310.853	27.732	27.732	1	250.679	268.213	29.4837	29.4837	1
811292346	216.423	333.288	27.6862	27.6862	1	245.547	313.929	30.0003	30.0003	1
811292379	215.595	446.169	28.6926	28.6926	1	248.123	434.905	30.5298	30.5298	1
811292413	204.242	440.473	28.5306	28.5306	1	237.445	440.894	30.4204	30.4204	1
811292446	200.553	463.886	28.3845	28.3845	1	233.38	444.667	30.5043	30.5043	1
811292479	221.459	445.661	28.7871	28.7871	1	226.91	440.042	30.5511	30.5511	1
811292513	196.399	430.467	28.9258	28.9258	1	214.08	440.567	30.6785	30.6785	1
811292546	200.092	440.521	28.8372	28.8372	1	218.768	449.22	31.0025	31.0025	1
811292579	184.801	431.904	29.1987	29.1987	1	204.849	446.91	29.9265	29.9265	1
811292613	200.504	453.604	29.4853	29.4853	1	216.845	439.874	30.8782	30.8782	1
811292646	201.885	447.31	29.0751	29.0751	1	221.73	451.887	30.688	30.688	1
811292679	200.69	451.816	29.6184	29.6184	1	215.626	441.566	31.0113	31.0113	1
811292713	203.825	446.087	29.2244	29.2244	1	206.005	452.673	30.9606	30.9606	1
811292746	201.226	458.613	29.9117	29.9117	1	216.963	435.599	30.8667	30.8667	1
811292779	191.152	465.331	29.8441	29.8441	1	216.662	460.524	31.8233	31.8233	1
811292812	197.138	465.434	29.8447	29.8447	1	212.401	471.231	31.2407	31.2407	1
811292846	209.19	455.721	30.0279	30.0279	1	216.187	463.865	31.1881	31.1881	1
811292879	203.779	436.016	30.1269	30.1269	1	210.377	465.933	31.5149	31.5149	1
811292912	202.939	451.626	30.8071	30.8071	1	221.242	464.641	31.5558	31.5558	1
811292946	195.653	459.802	30.3182	30.3182	1	217.692	460.092	31.7577	31.7577	1
811292979	192.404	452.153	30.5722	30.5722	1	221.779	439.848	31.8306	31.8306	1
811293012	206.238	455.895	30.5109	30.5109	1	207.451	458.498	32.0414	32.0414	1
811293046	211.939	452.488	30.7546	30.7546	1	217.316	464.094	32.1276	32.1276	1
811293079	193.221	456.771	30.5478	30.5478	1	217.727	469.687	31.7525	31.7525	1
811293112	187.551	459.865	30.5686	30.5686	1	222.711	453.314	32.0368	32.0368	1
811293145	210.058	453.926	30.2227	30.2227	1	221.272	462.957	32.1671	32.1671	1
811293179	204.751	462.148	30.9438	30.9438	1	229.051	460.113	32.3515	32.3515	1
811293212	199.925	460.389	31.163	31.163	1	213.592	476.55	32.2711	32.2711	1
811293245	184.896	462.017	30.8092	30.8092	1	223.195	448.372	32.9405	32.9405	1
811293279	182.478	466.417	30.9531	30.9531	1	225.683	468.206	32.5216	32.5216	1
811293312	193.745	451.253	31.0865	31.0865	1	229.25	467.338	32.7286	32.7286	1
811293345	201.33	451.367	31.3043	31.3043	1	223.628	455.285	32.6952	32.6952	1
811293379	198.685	458.842	31.588	31.588	1	219.858	469.702	33.2629	33.2629	1
811293412	217.197	406.541	30.9192	30.9192	1	258.005	433.541	32.8814	32.8814	1
811293445	238.102	405.342	31.2187	31.2187	1	265.442	416.131	33.0768	33.0768	1
811293478	272.735	351.595	31.2555	31.2555	1	308.625	373.429	33.1703	33.1703	1
811293515	289.875	353.941	31.5926	31.5926	1	325.161	372.479	33.7137	33.7137	1
811293546	279.381	361.402	31.4213	31.4213	1	311.907	376.129	33.6395	33.6395	1
811293578	268.535	372.499	31.1754	31.1754	1	281.215	356.895	33.7737	33.7737	1
811293612	280.669	360.415	31.6129	31.6129	1	320.823	362.436	33.3061	33.3061	1
811293645	295.867	353.31	31.3421	31.3421	1	314.067	360.995	33.6745	33.6745	1
811293678	284.098	362.864	31.2193	31.2193	1	319.941	359.646	33.2615	33.2615	1
811293712	292.157	350.086	31.2519	31.2519	1	324.949	354.192	33.2077	33.2077	1
811293745	300.323	341.3	31.06	31.06	1	326.389	350.563	33.2266	33.2266	1
811293778	272.744	340.082	31.046	31.046	1	322.22	350.601	33.1679	33.1679	1
811293811	306.954	329.346	30.9553	30.9553	1	329.707	356.259	33.2425	33.2425	1
811293845	316.699	341.148	30.6527	30.6527	1	321.055	353.723	32.9531	32.9531	1
811293878	302.866	352.388	31.1267	31.1267	1	336.551	354.328	33.0984	33.0984	1
811293911	305.875	349.921	30.7336	30.7336	1	318.798	348.121	32.0121	32.0121	1
811293945	300.095	353.827	31.1151	31.1151	1	327.868	362.703	32.1646	32.1646	1
811293978	311.418	336.974	30.9118	30.9118	1	339.976	371.42	32.0758	32.0758	1
811294011	309.52	357.167	30.9644	30.9644	1	336.781	350.081	31.8174	31.8174	1
811294045	307.196	345.969	31.0307	31.0307	1	341.255	349.611	31.8594	31.8594	1
811294078	293.824	353.369	30.9694	30.9694	1	344.511	357.135	31.5833	31.5833	1
811294111	311.82	344.769	30.9295	30.9295	1	336.009	354.003	32.0175	32.0175	1
811294145	306.03	344.366	30.7386	30.7386	1	329.864	358.572	31.7918	31.7918	1
811294178	293.631	338.897	30.9531	30.9531	1	323.939	343.742	32.2951	32.2951	1
811294211	301.145	336.149	30.8625	30.8625	1	342.681	349.32	31.7723	31.7723	1
811294244	318.755	332.302	30.891	30.891	1	342.794	359.499	32.3381	32.3381	1
811294278	291.951	348.566	31.2506	31.2506	1	336.396	349.41	31.9336	31.9336	1
811294311	303.004	352.6	30.9568	30.9568	1	360.006	349.88	31.9586	31.9586	1
811294344	304.408	342.416	30.4893	30.4893	1	334.011	335.989	31.3027	31.3027	1
811294378	291.762	350.455	30.9785	30.9785	1	330.604	349.46	32.1785	32.1785	1
811294411	291.689	356.265	31.2139	31.2139	1	333.595	354.645	32.0752	32.0752	1
811294444	296.282	346.489	30.6249	30.6249	1	347.383	348.417	32.0365	32.0365	1
811294478	296.821	352.98	30.9119	30.9119	1	332.796	355.345	32.4504	32.4504	1
811294511	311.03	338.694	31.0456	31.0456	1	327.509	328.515	31.8346	31.8346	1
811294544	293.847	359.527	30.8284	30.8284	1	335.117	344.785	31.9747	31.9747	1
811294578	294.666	352.903	30.1735	30.1735	1	319.526	336.481	32.2214	32.2214	1
811294611	430.071	278.937	30.3136	30.3136	1	469.877	267.853	32.5466	32.5466	1
811294644	454.082	279.822	30.1763	30.1763	1	491.269	261.897	32.9044	32.9044	1
811294677	455.019	281.288	30.34	30.34	1	490.497	267.16	33.0318	33.0318	1
811294711	470.718	271.743	30.3902	30.3902	1	484.475	265.001	32.8368	32.8368	1
811294744	466.822	273.034	30.5195	30.5195	1	494.073	272.29	32.9362	32.9362	1
811294777	462.683	294.455	30.406	30.406	1	494.104	256.078	32.8121	32.8121	1
811294811	462.473	269.106	30.5941	30.5941	1	474.299	257.806	32.8715	32.8715	1
811294844	512.565	301.676	30.8099	30.8099	1	540.008	309.905	33.3708	33.3708	1
811294877	497.316	346.853	30.8885	30.8885	1	525.341	344.264	33.6694	33.6694	1
811294911	523.651	345.353	30.319	30.319	1	529.383	321.206	32.6095	32.6095	1
811294944	492.428	346.049	30.161	30.161	1	540.098	344.443	32.1475	32.1475	1
811294977	472.991	346.346	29.9642	29.9642	1	525.512	337.427	32.7911	32.7911	1
811295011	503.684	353.165	29.8803	29.8803	1	530.628	329.564	32.0507	32.0507	1
811295044	509.71	335.683	29.0344	29.0344	1	529.774	339.98	31.8916	31.8916	1
811295077	489.966	347.281	29.7239	29.7239	1	528.686	333.988	31.9105	31.9105	1
811295110	522.599	347.185	29.7401	29.7401	1	546.414	344.094	31.7868	31.7868	1
811295144	515.487	328.529	29.2375	29.2375	1	533.757	346.282	31.3924	31.3924	1
811295177	469.8	351.19	29.1645	29.1645	1	563.212	344.788	31.8233	31.8233	1
811295210	490.521	354.375	29.5583	29.5583	1	519.48	355.726	30.8051	30.8051	1
811295243	514.664	353.956	29.288	29.288	1	534.828	353.251	31.4414	31.4414	1
811295277	514.975	348.227	29.1854	29.1854	1	534.958	342.077	31.1188	31.1188	1
811295310	500.424	360.625	28.9866	28.9866	1	536.974	354.51	31.3784	31.3784	1
811295343	506.107	362.978	29.1741	29.1741	1	537.397	343.217	31.1576	31.1576	1
811295377	510.729	344.454	29.0422	29.0422	1	539.215	354.476	31.1861	31.1861	1
811295410	509.94	345.611	29.0481	29.0481	1	528.215	342.925	30.4497	30.4497	1
811295443	504.159	355.079	28.6081	28.6081	1	537.219	342.384	30.5328	30.5328	1
811295477	489.506	344.943	28.4478	28.4478	1	540.102	355.462	30.4626	30.4626	1
811295510	499.477	349.017	28.0129	28.0129	1	535	345.027	29.946	29.946	1
811295543	511.423	339.997	28.0244	28.0244	1	530.286	350.965	29.6959	29.6959	1
811295577	512.609	340.005	28.1265	28.1265	1	550.92	348.137	29.7608	29.7608	1
811295610	527.793	340.853	28.4505	28.4505	1	538.587	357.958	30.1703	30.1703	1
811295643	522.699	344.112	28.2831	28.2831	1	540.628	347.748	29.8331	29.8331	1
811295677	531.014	342.157	27.3472	27.3472	1	549.184	344.79	29.7412	29.7412	1
811295710	535.803	339.576	27.8795	27.8795	1	542.372	354.531	29.914	29.914	1
811295743	500.194	357.83	28.4146	28.4146	1	530.016	354.97	29.6658	29.6658	1
811295777	529.557	350.697	27.929	27.929	1	538.376	348.296	29.366	29.366	1
811295810	501.403	353.99	28.033	28.033	1	547.42	350.746	28.9086	28.9086	1
811295843	528.802	345.389	27.8271	27.8271	1	538.027	340.797	29.2158	29.2158	1
811295876	531.527	359.242	28.0716	28.0716	1	542.005	346.47	29.1522	29.1522	1
